hotel_id,ID_booking,risk_score,risk_level,neg_share,neg_streak,reply_time_min,THREAT,COMPLAINT,PROBLEM,top_topic,max_severity,last_guest_message
2,250338,100.0,HIGH,100.0,4,248.8,0,0,1,температура,2,Приложение само создает задачи и отправляет их :(
1,184177,100.0,HIGH,100.0,3,132.0,0,0,1,прочее,2,"Известно, когда заработает интернет?"
1,200815,100.0,HIGH,100.0,3,787.5,0,0,0,чистота,1,Мусор так и не убрали.
2,174543,100.0,HIGH,100.0,3,482.8,0,0,2,заезд-выезд,2,В любое время. Мы сейчас уезжаем. Пусть горничная откроет. Номер 318
3,227599,100.0,HIGH,100.0,3,38726.3,0,0,0,прочее,1,"Hi could you please send someone to 305 to fix our sink, thank you"
5,210914,100.0,HIGH,100.0,2,94.3,0,1,1,чистота,3,"19 августа я продлил проживание в номере до 24 августа, оплату произвел на ресепшене. Кроме чека никаких документов о продлении проживания я не получил. Девушка на ресепшене обещала связаться с отделом бронирования для направления подтверждения на мою электронную почту. По состоянию на 19:30 20 августа мне на электронную почту ничего не поступало. Посему такое отвратительное обслуживание? Почему не предоставляете документ, подтверждающий продление продивания?"
3,158614,100.0,HIGH,85.7,6,9.6,0,0,0,прочее,1,"You should add ‘resident’ to that as well because it’s not really a fair question, nationality has nothing to do with being or not being a tourist, but if you don’t want to reimburse me that’s fine"
3,162504,100.0,HIGH,80.0,4,7018.0,0,0,0,прочее,1,tv doesn’t work our personal device doesn’t work
2,259717,100.0,HIGH,66.7,4,72.0,0,0,3,заезд-выезд,2,"Можете сами к нам зайти, у нас очень холодно:(<br>Батареи почти не греют"
3,293111,100.0,HIGH,64.3,8,0.0,0,0,0,прочее,1,Again!
5,446427,100.0,HIGH,64.3,7,117.8,0,0,3,платежи,2,"Добрый день. При бронировании было указана замена постельного белья каждые 10 дней. На текущий момент проживаем 2 недели, замены белья не производилось. Прошу завтра заменить постельное белье"
1,216545,100.0,HIGH,50.0,7,9831.2,0,0,6,шум,2,"Попросите сделать потише, рабочая неделю у окружающих идет"
5,190356,100.0,HIGH,42.4,6,10.6,4,0,0,прочее,5,Ладно не смотрите от вас ничего не дождатся издевайтесь дальше. 16 го от вас съеду
5,142684,100.0,HIGH,35.7,6,72.8,0,1,0,прочее,3,"Здравствуйте, да<br>Буду продлевать, все так же 35 верно?"
5,294816,100.0,HIGH,31.5,9,4.2,0,1,1,прочее,3,"Моется от унитаз, душевая ?"
1,156534,100.0,HIGH,24.7,4,71.0,1,1,3,прочее,5,"Мы с друзьями, которые здесь также остановились, уже поняли, что вы заботитесь только о «ваших хозяюшках».<br>На фото окно, которое не мылось несколько лет, а не мылось в последний раз «в стабильно теплую погоду».<br>Лучше иногда промолчать, чем сказать глупость, но лишь бы что-то ответить."
1,216550,98.1,HIGH,81.8,4,21.4,0,0,2,шум,2,"Доброй ночи, время уже ночное, хочется высыпаться в период сессии а в 711 смотрят телевизор так что я нпвольный слушатель, вызовите охрану пожадуйта, очень шумно и нп хочется такоп терпеть"
1,224381,96.9,HIGH,54.7,6,150.4,0,0,0,прочее,1,"Alright, will come to the reception from next time."
5,266837,95.3,HIGH,100.0,3,1.1,0,1,0,вопросы,3,Я понимаю но вы единственные в этом мире у кого такие проблемы!!!!!!!! Передайте это своему начальству
3,189924,95.0,HIGH,100.0,4,0.0,0,0,0,прочее,1,"Hi my remote is not working,do you have a spare?"
